data_name,num_classes,data_type,size,rho,distribution,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,augmentation_rho,augmentation_percentage,augmentation_top_k,wce_alpha,fl_gamma,val_f1_macro,test_f1_macro,test_f1_macro_std,train_f1_macro,train_f1_per_label_0,train_f1_per_label_1,train_f1_per_label_2,train_f1_per_label_3,train_f1_per_label_4,train_accuracy,train_precision_macro,train_precision_weighted,train_recall_macro,train_recall_weighted,train_auprc,val_f1_per_label_0,val_f1_per_label_1,val_f1_per_label_2,val_f1_per_label_3,val_f1_per_label_4,val_accuracy,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_auprc,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wce,-,-,-,-,-,0.93,-,87.42,86.56,0.52,97.9,99.69,96.11,0.0,0.0,0.0,99.43,96.5,99.47,99.45,99.43,99.51,98.25,76.59,0.0,0.0,0.0,96.74,87.66,96.72,87.2,96.74,90.33,98.16,74.97,0.0,0.0,0.0,96.57,87.37,96.5,85.81,96.57,89.85
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wce,-,-,-,-,-,0.99,-,82.73,81.03,1.13,87.14,97.5,76.78,0.0,0.0,0.0,95.49,81.71,97.38,97.23,95.49,94.75,97.02,68.44,0.0,0.0,0.0,94.56,78.32,95.87,89.59,94.56,86.66,96.7,65.36,0.0,0.0,0.0,93.98,76.76,95.45,87.89,93.98,86.09
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wfl,-,-,-,-,-,0.1,0.1,86.97,86.49,0.44,97.99,99.73,96.25,0.0,0.0,0.0,99.49,99.48,99.49,96.61,99.49,99.39,98.36,75.58,0.0,0.0,0.0,96.92,91.55,96.76,83.48,96.92,89.78,98.3,74.67,0.0,0.0,0.0,96.81,91.02,96.64,83.08,96.81,89.35
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wfl,-,-,-,-,-,0.1,0.2,87.69,87.44,0.93,98.25,99.76,96.73,0.0,0.0,0.0,99.55,99.57,99.56,97.01,99.55,99.57,98.4,76.98,0.0,0.0,0.0,97.01,90.85,96.87,85.08,97.01,91.34,98.37,76.52,0.0,0.0,0.0,96.95,90.52,96.81,84.91,96.95,91.56
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wfl,-,-,-,-,-,0.1,0.5,87.23,87.1,0.48,98.89,99.85,97.93,0.0,0.0,0.0,99.71,99.75,99.72,98.06,99.71,99.79,98.38,76.08,0.0,0.0,0.0,96.97,91.61,96.81,83.82,96.97,90.61,98.39,75.81,0.0,0.0,0.0,96.98,92.05,96.81,83.34,96.98,91.2
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wfl,-,-,-,-,-,0.1,1.0,87.43,87.17,0.36,98.84,99.84,97.83,0.0,0.0,0.0,99.7,99.7,99.7,98.02,99.7,99.82,98.39,76.47,0.0,0.0,0.0,96.98,91.1,96.82,84.48,96.98,90.76,98.38,75.96,0.0,0.0,0.0,96.97,91.56,96.8,83.78,96.97,90.2
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wfl,-,-,-,-,-,0.1,2.0,87.92,86.72,0.82,99.09,99.87,98.3,0.0,0.0,0.0,99.77,99.78,99.77,98.42,99.77,99.9,98.42,77.43,0.0,0.0,0.0,97.04,90.64,96.91,85.61,97.04,91.19,98.25,75.19,0.0,0.0,0.0,96.74,89.11,96.59,84.66,96.74,90.14
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wfl,-,-,-,-,-,0.1,5.0,87.51,86.88,0.47,98.21,99.76,96.67,0.0,0.0,0.0,99.55,99.53,99.55,96.98,99.55,99.83,98.4,76.61,0.0,0.0,0.0,97.01,91.33,96.86,84.49,97.01,91.6,98.32,75.44,0.0,0.0,0.0,96.86,90.6,96.69,83.93,96.86,91.02
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wfl,-,-,-,-,-,0.25,0.1,87.54,87.39,0.65,99.14,99.88,98.4,0.0,0.0,0.0,99.78,99.61,99.78,98.68,99.78,99.84,98.41,76.67,0.0,0.0,0.0,97.02,91.49,96.87,84.43,97.02,90.81,98.39,76.39,0.0,0.0,0.0,96.99,91.35,96.83,84.24,96.99,90.31
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wfl,-,-,-,-,-,0.25,0.2,87.54,87.05,0.73,98.92,99.85,97.99,0.0,0.0,0.0,99.72,99.5,99.72,98.36,99.72,99.86,98.41,76.68,0.0,0.0,0.0,97.02,91.47,96.87,84.46,97.02,91.12,98.36,75.74,0.0,0.0,0.0,96.92,91.19,96.75,83.8,96.92,91.0
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wfl,-,-,-,-,-,0.25,0.5,88.24,87.36,0.8,99.5,99.93,99.06,0.0,0.0,0.0,99.87,99.78,99.87,99.22,99.87,99.96,98.42,78.06,0.0,0.0,0.0,97.05,89.95,96.96,86.71,97.05,91.45,98.31,76.42,0.0,0.0,0.0,96.85,89.12,96.73,85.78,96.85,91.18
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wfl,-,-,-,-,-,0.25,1.0,87.29,87.07,0.87,98.89,99.85,97.93,0.0,0.0,0.0,99.71,99.47,99.71,98.32,99.71,99.84,98.34,76.24,0.0,0.0,0.0,96.9,90.27,96.76,84.81,96.9,92.26,98.32,75.82,0.0,0.0,0.0,96.86,90.08,96.71,84.58,96.86,91.74
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wfl,-,-,-,-,-,0.25,2.0,87.7,87.36,0.5,98.96,99.86,98.07,0.0,0.0,0.0,99.73,99.51,99.73,98.42,99.73,99.83,98.44,76.97,0.0,0.0,0.0,97.07,91.84,96.91,84.42,97.07,91.99,98.4,76.32,0.0,0.0,0.0,97.0,91.57,96.84,84.04,97.0,91.58
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wfl,-,-,-,-,-,0.25,5.0,87.7,86.61,0.35,98.07,99.74,96.39,0.0,0.0,0.0,99.51,99.06,99.51,97.14,99.51,99.62,98.38,77.02,0.0,0.0,0.0,96.98,90.33,96.85,85.47,96.98,91.76,98.22,75.0,0.0,0.0,0.0,96.68,88.69,96.55,84.83,96.68,90.92
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wfl,-,-,-,-,-,0.5,0.1,87.67,86.96,1.49,99.05,99.87,98.23,0.0,0.0,0.0,99.75,99.09,99.75,99.01,99.75,99.87,98.35,76.99,0.0,0.0,0.0,96.93,89.64,96.82,85.96,96.93,91.34,98.26,75.67,0.0,0.0,0.0,96.75,88.76,96.63,85.39,96.75,90.76
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wfl,-,-,-,-,-,0.5,0.2,87.41,86.72,0.46,98.82,99.83,97.8,0.0,0.0,0.0,99.69,98.91,99.69,98.72,99.69,99.79,98.28,76.53,0.0,0.0,0.0,96.8,88.52,96.73,86.41,96.8,91.64,98.2,75.24,0.0,0.0,0.0,96.65,88.04,96.56,85.54,96.65,91.09
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wfl,-,-,-,-,-,0.5,0.5,87.95,86.59,0.92,98.84,99.84,97.84,0.0,0.0,0.0,99.7,98.93,99.7,98.75,99.7,99.8,98.44,77.46,0.0,0.0,0.0,97.09,91.34,96.95,85.19,97.09,91.76,98.27,74.91,0.0,0.0,0.0,96.77,89.87,96.59,83.92,96.77,90.95
twitter-hate-speech-tsa,2,bin,31962,13.26,"{'0_non-hate': 0.93, '1_hate': 0.07}",wfl,-,-,-,-,-,0.5,1.0,88.32,87.36,0.67,99.35,99.91,98.78,0.0,0.0,0.0,99.83,99.43,99.83,99.27,99.83,99.91,98.42,78.22,0.0,0.0,0.0,97.05,89.83,96.98,86.99,97.05,91.82,98.32,76.4,0.0,0.0,0.0,96.87,89.6,96.76,85.48,96.87,91.58
