data_name,num_classes,distribution,rho,size,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,wce_alpha,fl_gamma,val_f1_macro,test_f1_macro,test_f1_macro_std,train_accuracy,train_auprc,train_precision_macro,train_precision_weighted,train_recall_macro,train_recall_weighted,train_f1_macro,train_f1_weighted,train_f1_per_label_0,train_f1_per_label_1,train_f1_per_label_2,train_f1_per_label_3,train_f1_per_label_4,val_accuracy,val_auprc,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_f1_weighted,val_f1_per_label_0,val_f1_per_label_1,val_f1_per_label_2,val_f1_per_label_3,val_f1_per_label_4,test_accuracy,test_auprc,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_f1_weighted,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,sampling_weightedRS_oversampling,-,2.0,-,-,80.07,70.88,0.68,98.19,98.89,98.27,98.25,98.17,98.19,98.19,98.19,98.14,98.24,0.0,0.0,0.0,94.48,73.82,76.7,95.44,84.88,94.48,94.86,97.02,63.13,0.0,0.0,0.0,91.95,64.69,68.54,93.19,74.3,91.95,92.49,95.65,46.1,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,th,-,-,-,-,76.39,70.6,3.91,96.59,89.75,83.57,97.21,92.86,96.59,87.47,96.79,98.16,76.79,0.0,0.0,0.0,92.82,72.37,72.1,94.82,83.99,92.82,93.57,96.08,56.69,0.0,0.0,0.0,91.03,64.43,67.43,93.33,76.32,91.03,91.98,95.11,46.1,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wce,-,-,0.1,-,48.35,48.35,0.0,93.61,78.63,46.81,87.63,50.0,93.61,48.35,90.53,96.7,0.0,0.0,0.0,0.0,93.62,58.08,46.81,87.65,50.0,93.62,90.54,96.71,0.0,0.0,0.0,0.0,93.62,55.64,46.81,87.65,50.0,93.62,90.54,96.71,0.0,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wce,-,-,0.25,-,56.58,55.09,11.67,94.28,82.63,60.68,90.14,56.79,94.28,57.64,92.0,97.04,18.25,0.0,0.0,0.0,93.74,62.6,56.12,89.63,57.2,93.74,91.61,96.73,16.43,0.0,0.0,0.0,93.28,59.82,54.14,89.26,56.11,93.28,91.2,96.48,13.7,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wce,-,-,0.75,-,78.91,69.4,0.69,96.47,88.61,82.33,97.61,97.14,96.47,88.04,96.8,98.08,77.99,0.0,0.0,0.0,94.2,71.89,75.79,95.16,83.47,94.2,94.57,96.86,60.96,0.0,0.0,0.0,91.61,64.36,67.36,92.83,72.43,91.61,92.14,95.47,43.34,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wce,-,-,0.9,-,80.06,70.82,1.53,95.68,84.7,79.93,97.36,97.14,95.68,86.11,96.17,97.64,74.58,0.0,0.0,0.0,94.31,75.98,76.11,95.52,86.05,94.31,94.77,96.92,63.21,0.0,0.0,0.0,91.78,66.76,68.29,93.2,74.62,91.78,92.4,95.55,46.1,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wce,-,-,0.936,-,80.34,71.75,0.74,95.55,84.7,79.5,97.34,97.34,95.55,85.82,96.07,97.57,74.07,0.0,0.0,0.0,94.48,76.47,76.66,95.54,85.72,94.48,94.89,97.01,63.66,0.0,0.0,0.0,91.67,66.69,68.55,93.54,77.08,91.67,92.44,95.47,48.03,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wce,-,-,0.95,-,78.91,71.95,1.32,95.42,82.54,79.19,97.25,96.85,95.42,85.42,95.95,97.49,73.36,0.0,0.0,0.0,94.25,76.59,76.1,95.15,83.08,94.25,94.6,96.9,60.93,0.0,0.0,0.0,92.64,68.01,70.27,93.38,74.24,92.64,92.97,96.04,47.85,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wce,-,-,0.99,-,75.29,68.78,3.23,90.08,77.59,71.21,96.26,94.28,90.08,76.46,92.05,94.33,58.59,0.0,0.0,0.0,92.07,75.1,70.69,94.74,84.43,92.07,93.05,95.65,54.93,0.0,0.0,0.0,89.31,65.72,65.16,93.26,77.5,89.31,90.87,94.1,43.46,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wfl,-,-,0.1,0.1,48.35,48.35,0.0,93.61,77.52,46.81,87.63,50.0,93.61,48.35,90.53,96.7,0.0,0.0,0.0,0.0,93.62,58.21,46.81,87.65,50.0,93.62,90.54,96.71,0.0,0.0,0.0,0.0,93.62,55.44,46.81,87.65,50.0,93.62,90.54,96.71,0.0,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wfl,-,-,0.1,0.2,48.35,48.35,0.0,93.61,76.83,46.81,87.63,50.0,93.61,48.35,90.53,96.7,0.0,0.0,0.0,0.0,93.62,58.57,46.81,87.65,50.0,93.62,90.54,96.71,0.0,0.0,0.0,0.0,93.62,55.56,46.81,87.65,50.0,93.62,90.54,96.71,0.0,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wfl,-,-,0.1,0.5,48.35,48.35,0.0,93.61,76.47,46.81,87.63,50.0,93.61,48.35,90.53,96.7,0.0,0.0,0.0,0.0,93.62,61.76,46.81,87.65,50.0,93.62,90.54,96.71,0.0,0.0,0.0,0.0,93.62,57.61,46.81,87.65,50.0,93.62,90.54,96.71,0.0,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wfl,-,-,0.1,1.0,48.35,48.35,0.0,93.65,77.48,74.61,91.23,50.44,93.65,49.24,90.66,96.72,1.76,0.0,0.0,0.0,93.62,58.25,46.81,87.65,50.0,93.62,90.54,96.71,0.0,0.0,0.0,0.0,93.62,56.47,46.81,87.65,50.0,93.62,90.54,96.71,0.0,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wfl,-,-,0.1,2.0,48.35,48.35,0.0,93.61,74.26,63.52,89.84,50.7,93.61,49.76,90.7,96.7,2.83,0.0,0.0,0.0,93.62,62.15,46.81,87.65,50.0,93.62,90.54,96.71,0.0,0.0,0.0,0.0,93.62,56.6,46.81,87.65,50.0,93.62,90.54,96.71,0.0,0.0,0.0,0.0
bretschneider-th-main,2,"{'0_neutral': 0.936, '1_harassment': 0.064}",14.66,2898,wfl,-,-,0.1,5.0,53.8,49.68,2.29,94.23,80.13,88.79,93.63,55.92,94.23,58.0,92.02,97.01,19.0,0.0,0.0,0.0,93.62,62.62,55.38,89.15,53.78,93.62,91.22,96.69,10.91,0.0,0.0,0.0,93.28,58.16,50.18,88.15,50.66,93.28,90.54,96.52,2.84,0.0,0.0,0.0
