data_name,num_classes,data_type,label_col,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,loss,wce_alpha,fl_gamma,pl_seed,val_f1_macro,test_f1_macro,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc,mlflow_run_id
davidson-thon,3,multi,label_multi,wce,-,-,Loss.Weighted_CE_Loss,"(0.5, 0.6, 0.1)",-,0,0.7399895787239075,0.729438066482544,0.39304348826408386,0.9397868514060974,0.855483889579773,0,0,0.8948960900306702,0.7473458051681519,0.8951811790466309,0.7148816585540771,0.8948960900306702,0.7539767026901245,9ed8003761174950a3bd5aea0d6f9030
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"(0.9, 0.1, 0.3)",5.0,0,0.7666481733322144,0.7540850639343262,0.4375917911529541,0.9376241564750671,0.8870392441749573,0,0,0.8946943879127502,0.7364343404769897,0.9076055288314819,0.7796308994293213,0.8946943283081055,0.7574765086174011,3193d0f2ca5e42bc97baf955ee3c0809
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"(0.9, 0.1, 0.3)",2.0,0,0.7460641860961914,0.7445764541625977,0.4375,0.9293228983879089,0.866906464099884,0,0,0.8775469064712524,0.7208561897277832,0.9106321930885315,0.80063796043396,0.8775469064712524,0.7524497509002686,fc658a336fbd4f72bb4f46871183c46a
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"tensor([1., 1., 1.])",0.1,42,0.7671406269073486,0.7563796639442444,0.4406196177005768,0.9432734847068787,0.8852459192276001,0,0,0.9041759371757507,0.7571744918823242,0.9049203991889954,0.7557349801063538,0.9041759371757507,0.7668638229370117,bf98dbbb5e314f9baf78d0766cd89296
davidson-thon,3,multi,label_multi,sampling_modifiedRS_undersampling,7.5,-,Loss.CE_Loss,-,-,42,0.7712368965148926,0.7644721269607544,0.4509466290473938,0.9440863132476807,0.898383378982544,0,0,0.9072019457817078,0.7543228268623352,0.9092996716499329,0.7756258249282837,0.9072019457817078,0.7787873148918152,e6d5a0b5d0724de794a6439f4f34dbb3
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"(0.5, 0.6, 0.1)",1.0,42,0.7469046115875244,0.7356541156768799,0.38289204239845276,0.9462586641311646,0.8778115510940552,0,0,0.9070001840591431,0.7605698108673096,0.899040699005127,0.7180836200714111,0.9070001840591431,0.7559260129928589,6447e562838746eb854f65386fd8f228
davidson-thon,3,multi,label_multi,sampling_modifiedRS_oversampling,3.0,-,Loss.CE_Loss,-,-,42,0.7595906257629395,0.7579138278961182,0.4492385685443878,0.9304827451705933,0.894020140171051,0,0,0.886019766330719,0.7319923639297485,0.912915825843811,0.8089182376861572,0.886019766330719,0.7659288644790649,84ba62dc4db64291838821d432123bed
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"(0.5, 0.6, 0.1)",0.1,0,0.7404220104217529,0.7356129884719849,0.41342756152153015,0.9403004050254822,0.8531109690666199,0,0,0.8965100049972534,0.7535630464553833,0.8956590890884399,0.7205177545547485,0.8965100049972534,0.7590888738632202,95368147e3c545739848e6b61a4e5908
davidson-thon,3,multi,label_multi,wce,-,-,Loss.Weighted_CE_Loss,"(1.2, 0.1, 0.4)",-,0,0.7466518878936768,0.7449678182601929,0.4254215359687805,0.9317171573638916,0.8777648210525513,0,0,0.882993757724762,0.7181457281112671,0.909309983253479,0.793279767036438,0.882993757724762,0.756035566329956,033868c44305456aa40a39f2ba8db74e
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"tensor([1., 1., 1.])",0.1,21,0.7455068826675415,0.7403061389923096,0.3858998119831085,0.9422850608825684,0.8927335739135742,0,0,0.9033689498901367,0.7389112710952759,0.9010050296783447,0.7435988187789917,0.9033689498901367,0.7460290193557739,e464e5dd155d433db67e3af2606f1969
davidson-thon,3,multi,label_multi,sampling_modifiedRS_undersampling,2.0,-,Loss.CE_Loss,-,-,21,0.7721885442733765,0.7559080123901367,0.43980738520622253,0.9403221607208252,0.8875946402549744,0,0,0.8997377157211304,0.7405592203140259,0.9062997102737427,0.7738713026046753,0.8997377753257751,0.7575139999389648,549189f20deb4d44994e2dc040df7083
davidson-thon,3,multi,label_multi,wce,-,-,Loss.Weighted_CE_Loss,"(1.2, 0.1, 0.4)",-,42,0.7746900320053101,0.7552587985992432,0.4356120824813843,0.9398416876792908,0.8903225660324097,0,0,0.8993342518806458,0.7405757308006287,0.9063283205032349,0.7727576494216919,0.8993342518806458,0.7666680216789246,ff1757c7834f40d3bde835f6969e958d
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"(0.9, 0.1, 0.3)",1.0,21,0.7448408603668213,0.7372983694076538,0.39273926615715027,0.9353233575820923,0.8838323354721069,0,0,0.8934839367866516,0.7311984300613403,0.8974277377128601,0.7442438006401062,0.8934839963912964,0.7442394495010376,b1db3c59b09646a8851f1b21e8bee730
davidson-thon,3,multi,label_multi,sampling_modifiedRS_undersampling,1.2,-,Loss.CE_Loss,-,-,0,0.7483952045440674,0.7399035096168518,0.40560948848724365,0.9205352067947388,0.893565833568573,0,0,0.867863655090332,0.7184944152832031,0.9160691499710083,0.8092072010040283,0.867863655090332,0.7571229338645935,fe3909122be84daba3b19f59b06c7e9e
davidson-thon,3,multi,label_multi,wfl,-,-,Loss.Weighted_Focal_Loss,"(1.2, 0.1, 0.4)",0.1,42,0.7593936920166016,0.7479410171508789,0.4183976352214813,0.9351028800010681,0.8903225660324097,0,0,0.8922735452651978,0.7289165258407593,0.9050536155700684,0.774032473564148,0.8922735452651978,0.7627609968185425,31ae9cffe3fd455dbf1ded3adbe87ca9
davidson-thon,3,multi,label_multi,sampling_weightedRS,-,1.0,Loss.CE_Loss,-,-,42,0.7528424263000488,0.7427705526351929,0.4264462888240814,0.9368994832038879,0.8649657964706421,0,0,0.8940891623497009,0.7453563213348389,0.8971869945526123,0.7418185472488403,0.8940892219543457,0.7526180148124695,41e079d0adde47c3ac1ff6d16129e56b
