data_name,num_classes,data_type,size,rho,distribution,variant,sampling_modifiedRS_rho,sampling_weightedRS_percentage,augmentation_rho,augmentation_percentage,augmentation_top_k,wce_alpha,fl_gamma,test_f1_macro,test_f1_macro_std,val_f1_macro,train_f1_macro,train_f1_per_label_0,train_f1_per_label_1,train_f1_per_label_2,train_f1_per_label_3,train_f1_per_label_4,train_accuracy,train_precision_macro,train_precision_weighted,train_recall_macro,train_recall_weighted,train_auprc,val_f1_per_label_0,val_f1_per_label_1,val_f1_per_label_2,val_f1_per_label_3,val_f1_per_label_4,val_accuracy,val_precision_macro,val_precision_weighted,val_recall_macro,val_recall_weighted,val_auprc,test_f1_per_label_0,test_f1_per_label_1,test_f1_per_label_2,test_f1_per_label_3,test_f1_per_label_4,test_accuracy,test_precision_macro,test_precision_weighted,test_recall_macro,test_recall_weighted,test_auprc
davidson-thon,3,multi,24783,13.42,"{'0_hate speech': 0.058, '1_offensive language': 0.774, '2_neither': 0.168}",th,-,-,-,-,-,-,-,74.33,0.91,74.87,93.83,84.21,98.75,98.54,0.0,0.0,97.95,94.98,97.85,92.95,97.95,96.14,43.53,92.71,88.37,0.0,0.0,88.02,71.84,91.08,80.71,88.02,75.53,40.84,92.95,89.21,0.0,0.0,88.33,71.9,90.87,78.85,88.33,74.87
davidson-thon,3,multi,24783,13.42,"{'0_hate speech': 0.058, '1_offensive language': 0.774, '2_neither': 0.168}",baseline,-,-,-,-,-,-,-,74.7,0.59,74.64,93.57,83.38,98.7,98.62,0.0,0.0,97.9,94.79,97.77,92.68,97.9,95.74,40.96,94.29,88.67,0.0,0.0,90.33,74.76,90.32,75.02,90.33,76.47,40.46,94.54,89.1,0.0,0.0,90.73,76.02,90.41,74.11,90.73,75.9
davidson-thon,3,multi,24783,13.42,"{'0_hate speech': 0.058, '1_offensive language': 0.774, '2_neither': 0.168}",fl,-,-,-,-,-,-,2.0,74.74,0.86,76.68,92.81,81.26,98.45,98.71,0.0,0.0,97.55,93.84,97.48,91.89,97.55,96.04,46.67,94.5,88.88,0.0,0.0,90.78,76.64,90.89,77.07,90.78,77.38,41.09,94.37,88.76,0.0,0.0,90.53,75.83,90.28,74.09,90.53,76.55
davidson-thon,3,multi,24783,13.42,"{'0_hate speech': 0.058, '1_offensive language': 0.774, '2_neither': 0.168}",sampling_modifiedRS_oversampling,5.0,-,-,-,-,-,-,75.64,0.46,76.43,96.82,94.62,98.45,97.39,0.0,0.0,97.75,96.83,97.75,96.82,97.75,99.15,46.66,93.93,88.69,0.0,0.0,89.78,74.54,91.09,79.29,89.78,77.81,43.64,93.96,89.34,0.0,0.0,89.89,74.5,90.77,77.32,89.89,76.2
davidson-thon,3,multi,24783,13.42,"{'0_hate speech': 0.058, '1_offensive language': 0.774, '2_neither': 0.168}",augmentation_abusive_lexicon,-,-,10.0,0.3,3,-,-,76.05,0.06,77.31,95.07,88.38,98.58,98.26,0.0,0.0,97.78,95.8,97.74,94.41,97.78,97.85,48.16,94.44,89.34,0.0,0.0,90.58,75.57,91.37,79.52,90.58,77.45,44.1,94.49,89.55,0.0,0.0,90.59,75.23,90.97,77.03,90.59,76.12
davidson-thon,3,multi,24783,13.42,"{'0_hate speech': 0.058, '1_offensive language': 0.774, '2_neither': 0.168}",sampling_modifiedRS_undersampling,5.0,-,-,-,-,-,-,76.57,0.19,77.27,93.31,85.47,96.25,98.22,0.0,0.0,95.69,93.23,95.69,93.44,95.69,96.65,48.58,94.13,89.11,0.0,0.0,90.22,75.32,91.25,79.9,90.22,78.02,45.99,94.32,89.39,0.0,0.0,90.38,75.3,91.12,78.22,90.38,76.93
founta-2018-thas,4,multi,46452,20.34,"{'0_normal': 0.717, '1_spam': 0.163, '2_abusive': 0.085, '3_hateful': 0.035}",th,-,-,-,-,-,-,-,61.9,0.35,61.73,95.25,98.46,94.07,96.79,91.68,0.0,97.38,95.75,97.36,94.77,97.38,98.55,84.47,53.71,75.89,32.84,0.0,76.11,60.04,78.06,64.13,76.11,58.9,84.34,52.86,76.04,34.36,0.0,75.88,60.01,78.0,64.59,75.88,58.7
founta-2018-thas,4,multi,46452,20.34,"{'0_normal': 0.717, '1_spam': 0.163, '2_abusive': 0.085, '3_hateful': 0.035}",baseline,-,-,-,-,-,-,-,62.7,0.91,62.96,94.05,98.18,93.16,95.82,89.05,0.0,96.86,94.81,96.84,93.32,96.86,97.56,86.83,52.9,77.52,34.61,0.0,79.19,65.41,78.46,61.84,79.19,63.47,86.55,52.0,78.17,34.09,0.0,78.71,63.84,78.19,62.23,78.71,63.37
founta-2018-thas,4,multi,46452,20.34,"{'0_normal': 0.717, '1_spam': 0.163, '2_abusive': 0.085, '3_hateful': 0.035}",augmentation_abusive_lexicon,-,-,5.0,0.3,5,-,-,63.51,0.45,63.37,92.68,95.66,82.64,95.88,96.56,0.0,93.99,92.85,93.97,92.52,93.99,96.41,87.12,55.78,76.18,34.4,0.0,79.49,64.87,79.23,62.43,79.49,65.36,87.29,55.34,76.7,34.72,0.0,79.52,64.5,79.39,62.89,79.52,65.86
founta-2018-thas,4,multi,46452,20.34,"{'0_normal': 0.717, '1_spam': 0.163, '2_abusive': 0.085, '3_hateful': 0.035}",fl,-,-,-,-,-,-,0.2,63.55,0.5,62.46,93.56,98.01,92.48,95.58,88.16,0.0,96.58,94.27,96.55,92.87,96.58,97.56,86.22,54.31,77.37,31.95,0.0,78.55,63.33,78.41,62.41,78.55,64.02,86.21,53.43,78.32,36.22,0.0,78.54,63.94,78.52,63.72,78.54,64.12
